citation_id,source_paragraph,baseline_relevant,baseline_reject,baseline_paper,hyde_t07_relevant,hyde_t07_reject,hyde_t07_paper,hyde_single_relevant,hyde_single_reject,hyde_single_paper
11,"The interesting aspect of the stock transaction dataset is that the standard deviation from TPIA and BRPT is larger than the mean, which means that two stock issuers have high volatility. 2) DATASET OF NEWS HEADLINES The news portal kontan.co.id in the Indonesian language is used as a source of the news dataset with news published dates between 1 January 2017 and 31 May 2024. The news dataset contains the title, description, published date, and category gathered using scraping technique under sections investment, industry, and finance. This research uses the news section in the news portal as an aspect category. The rule of collecting the dataset is the stock issuer ticker is shown explicitly in the news title to distinguish",1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators
12,"titles on each stock issuer based on aspect category. available in English. The trained model siebert/sentiment- roberta-large-english is a binary sentiment classification with an accuracy of 93.2% and is used to determine sentiment polarity, negative and positive. The news dataset contains news published date, aspect category, sentiment polarity, stock ticker, and news title. FIGURE 3. Framework of labeling aspect-sentiment quadruplet. The pair aspect category-sentiment polarity with news trained using various pre-trained models titles was such as indobert-large-p2 , mxbai-embed-large-v1 , multilingual-e5-large , distiluse-base-multilingual- to develop cased-v2 , and bge-base-en-v1.5 VOLUME 12, 2024 178677 A. T. Haryono et al.: pTKANs for Stock Price Forecasting Using Generative ABSA aspect categorization and sentiment classification models. The indobert-large-p2 model is specifically designed for Indonesians,",1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators
13,"using the mean sentiment score on each day trading, if not found, filled with zero value. The daily stock issuer sentiment score can be combined with stock transaction history. The illustration of the final dataset in the form of panel data is shown in Table. 2. D. FORECASTING MODELS D. FORECASTING MODELS This sub-section presents modified Transformer architec- ture, which are Transformer GRU (FormerGRU), Trans- former LSTM (FormerLSTM), Transformer Encoder GRU (TEGRU), and Transformer Encoder LSTM (TELSTM). Modified Transformer was chosen because TEGRU outper- formed other Transformer variants, such as vanilla Trans- former, Informer, FEDformer, and Transformer Encoder in stock price forecasting . This research proposes permuted Temporal Kolmogorov-Arnold Networks (pTKAN) architec- ture to develop a unified stock forecasting model",1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators,1,0,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators
14,"and radial velocity detection of targets is not discussed yet. The contribution of this paper is in the receiver processing of CC-OFDM-MIMO radar, which is different from those in other types of OFDM MIMO radars or other multi-TRM radars due to the nature of the orthogonal multi-beam generation with Golay-coded OFDM waveforms and subbands. There are previous research on radar waveform for ISAC purposes , which discussed about cyclic prefix (CP) based OFDM waveform and how the CP is very much defining the maximum unambiguous range of the radar system. CC-OFDM MIMO radar waveform design which is discussed in this paper is not a CP based radar, the transmitters are transmitting multiple orthogonal symbols in series without any guard time",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
15,"much defining the maximum unambiguous range of the radar system. CC-OFDM MIMO radar waveform design which is discussed in this paper is not a CP based radar, the transmitters are transmitting multiple orthogonal symbols in series without any guard time interval between the symbols. to each other, hence The symbol series are orthogonal VOLUME 13, 2025 109895 D. Kuswidiastuti et al.: Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar receivers know how to distinguish the symbols received, and this could extend the maximum unambiguous range of the radar. The contributions of this paper are described as follow: 1) This paper describes the receiver processing of multi- beam CC-OFDM MIMO Radar which is designed for long-range radar surveillance application. The",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
16,"the transmitters transmit a frame consisting of 12 consecutive symbols in series. The frame period is 1.2 ms, when the symbols are orthogonal, then the maximum unambiguous range is not only 15 km but 12 times longer (i.e. 180 km). CC-OFDM transmitter and receiver block diagram incor- porates simple transmit and receive modules. Fig. 1 depicts the block diagram of a transmit/receive (T/R) module, which is one out of 101 that constitute the MIMO transmitter system 109896 VOLUME 13, 2025 D. Kuswidiastuti et al.: Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar FIGURE 1. Block diagram of a transmit receive module of CC-OFDM MIMO radar. TABLE 1. CC-OFDM MIMO radar system specifications for surveillance applications. of the surveillance radar.",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
17,"for the n-th subcarrier for symbol a in beam b is given by gn,a,b, with the sampling period of Ts. The maximum unambiguous range, Rmax, will depend on the OFDM symbol period of T0. However, by transmitting Ns orthogonal symbols in series can extend the maximum range up to Ns times further. According to the waveform specification in Table 1, the 12 symbols are transmitted in series over 12T0 to extend the maximum range from 15 up to 180 km. The beams and the CC-OFDM symbols are Golay VOLUME 13, 2025 109897 D. Kuswidiastuti et al.: Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar coded and transmitted using the allocated sub-band following a specific schedule that is well known",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
18,"The beams and the CC-OFDM symbols are Golay VOLUME 13, 2025 109897 D. Kuswidiastuti et al.: Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar coded and transmitted using the allocated sub-band following a specific schedule that is well known by the transmitter and receiver. The neighboring beam must use different sub-band and sub-band reuse is allowed for beams that are at least 10◦ in separation. In order to generate CC-OFDM waveform, additional phase steering β(fn,a,b, (cid:49)tb) is given to the specified OFDM sub-band frequencies of beam b to provide phase difference between the transmit elements for creating the beam b. Circulating code in LFM MIMO radar which is discussed in , obtain this phase difference by transmitting coherent signals",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
19,"the specified OFDM sub-band frequencies of beam b to provide phase difference between the transmit elements for creating the beam b. Circulating code in LFM MIMO radar which is discussed in , obtain this phase difference by transmitting coherent signals with a small time delay difference ((cid:49)tb) between the antenna element. However, using an OFDM signal, this phase steering can be provided by giving a phase difference to the OFDM subcarrier phase in the frequency domain of the OFDM signal generation stage. The phase steering given to the CC-OFDM waveform can be defined as follow: β(fn,a,b, (cid:49)tb) = 2πfn,a,b(cid:49)tb Hence, the array factor of CC-OFDM will be: AF(θ, fn,a,b, (cid:49)tb) = Nt −1 2X Ipejp(α(θ)+β(fn,a,b,(cid:49)tb) where α(θ) = p=− Nt",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
20,"together with transmit scheduling to avoid transmit receive coupling. The receive scheduling is also related to the time scheduling of the correlation between symbols, which is an important stage in the beam and range processing. The transmit and receive time schedule of CC-OFDM radar is described in Fig. 4. The receive scheduling is very important, especially in a multiple target scheme. The echo signals caused by two or more targets at different ranges (i.e., one target is near to the radar, and the other is far) could cause range ambiguity. The clock synchronization between the multiple transmitters and the multiple receivers of CC-OFDM radars are very crucial to guarantee that the receiver can give the accurate detection. It can be",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
21,"correlation function between the received signals with the reference signal can be derived as follow: χyx(θ, θ ′, τ, τ0, fD) = σ ejϑ R4 2NsT0X (cid:26) (Nt −1) 2X (Nt −1) 2X k=0 p=− (Nt −1) q=− (Nt −1) {IpIqejpα(θ)e−jqα(θ ′) Nc−1 Nc−1 n=0 m=0 (cid:26) Cn,p,a,bC ∗ m,q,a′,b′gn,a,bgm,a′,b′ × ej2πkTs(fIF +fn,a,b+fD) × e−j2πkTs(fIF +fm,a′,b′ ) × ej2πfn,a,b[p(cid:49)tb−(a−1)T0] × e−j2πfm,a′,b′ [q(cid:49)tb−(a′−1)T0]ej2π(τ −τ0)(fIF +fn,a,b) (cid:27)(cid:27) (14) PNc−1 Because the subcarrier frequency of the OFDM signal and the Golay codes are orthogonal, then the term PNc−1 m=0 gn,a,bgm,a′,b′ = 0 for n ̸= m, a ̸= a′, n=0 or b ̸= b′, hence the cross correlation, χyx(θ, θ ′, τ, τ0, fD) will be zero. The correlation function value will be",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
22,"B. DOPPLER PROCESSING SIMULATION AND ANALYSIS B. DOPPLER PROCESSING SIMULATION AND ANALYSIS In this subsection, the Doppler processing of a moving target is analyzed. For the Doppler processing in this paper, we set VOLUME 13, 2025 109903 D. Kuswidiastuti et al.: Receiver Processing of the Multibeam Azimuth Scanning CC-OFDM-MIMO Radar echoes received from targets. Beams that receive echoes by targets in their respective directions can be identified correctly by correlating the sum of signals containing echoes from all receive modules with individual signals transmitted individual beams. Correlations are done per symbol, and after delay compensation, coherence processing is done for all the 12 symbols. The simulation results based on the detection of 2 targets at 3 different scenarios show that",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
23,"and at the same beam direction, in this case around the range resolution of the radar, which is 60 meter are also can be distinguished with PSLL of −45 dB. The simulation results show that the coupling between beams and symbols are very low as the result of codes and sub-band scheduling at the transmitter. These results are valid for the three scenarios whether the targets are in the same beam, at the nearest neighboring beams and at the nearest co-channel beams. It shows that with the concept proposed in CC-OFDM MIMO Radar, it is possible to design a long-range radar with low power transmission by transmitting multi-orthogonal CC-OFDM symbols in series, to improve the Signal-to-Noise of the radar system.",1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,1,0,A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar
24,"with the following formula: TP + TN TP + TN + FP + FN Accuracy = Precision = Recall/True Positive Rate(TPR) TP TP + FP TP TP + FN F1 = 2 × precision × recall precision + recall FP TN + TP (cid:90) 1 TPRd(FPR) False Positive Rate(FPR) = AUC = (4) (5) (6) (7) (8) (9) where TP is the number of correctly predicted positive labels, TN is the number of correctly predicted negative labels, FP is the number of incorrectly predicted positive labels, and FN is the number of incorrectly predicted negative labels. Accuracy is the ratio of true predictions to the overall data. Precision is the ratio between TP to the total number of positive predic-",1,0,Conflict Detection of Functional Requirements Based on Clustering and Rule-Based System,1,0,Conflict Detection of Functional Requirements Based on Clustering and Rule-Based System,1,0,"Review on Ensembles for the Class Imbalance Problem: Bagging-, Boosting-, and Hybrid-Based Approaches"
25,"exhib- ited better performance than the MobileNet model, in which the models achieved an accuracy of 85% and 84.52%, respectively. Furthermore, the ResNet-101 model achieved a higher recognition performance of 88.37%, while the MobileNetV2 achieved the performance with an accuracy of 85.46% and a precision, recall, and F1 of 91%, 84%, and 85%, respectively. Furthermore, we performed more experi- ments using several different architectures i.e., DenseNet169, InceptionResNetV2, Xception, and EfﬁcientNetB4 that yielded accuracy of 88.76%, 87.16%, 89.31%, and 88.21%, respectively. The highest accuracy achieved by the benchmark models was only 89.31%. Our previous study proposed a data aug- mentation technique based on neural style transfer and geo- metric transformation to address the scantiness of Balinese carving data , which increased",1,0,A Comparison of VGG Architecture Convolutional Layers in Migrating Batik Style into Fractal Shape,1,0,A Comparison of VGG Architecture Convolutional Layers in Migrating Batik Style into Fractal Shape,1,0,A Comparison of VGG Architecture Convolutional Layers in Migrating Batik Style into Fractal Shape
26,"process, an audit involves acquiring and objectively evaluating evidence related to allegations of economic activities and other operations. The aim is to assess the level of conformity between the reports and predefined criteria, and to communicate the results to relevant users, in this case, the organization responsible for establishing information system gover nan nance. One of the proven frameworks for information system auditing is the Control Objectives for Information and Related Technology (COBIT) 2019, which is utilized as the reference framework in this research . COBIT 2019 offers an effective methodology for evaluating the capability of information technology processes, specifically focusing on Deliver, Service and Support - Operation Management. This framework guarantees that the data (DSS01) is received, managed fully,",1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Information technology governance audit using cobit framework 2019 (case study: Mandiri university)
27,"the Deliver, Service, and Support (DSS) domain to assess the performance of the system and the standards the governance capabilities at the Customer Care unit using the COBIT framework, specifically within the Deliver, Service, and Support (DSS) domain. The primary focus is on assessing process controls related to Information Technology (IT) services and technical support. Data collection is conducted through surveys to support this evaluation. This study adopts a novel approach in identifying COBIT processes, specifically DSS01, through process mining techniques rather than traditional surveys. Process mining utilizes event logs recorded from daily operations. This technique enables real-time process analysis by applying various analytical methods to process these logs. This approach provides deeper and more accurate insights into the effectiveness",1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019
28,"workflow progress and delivering important insights . A major benefit of this method is its ability to use existing database logs, which can decrease the time and cost needed for data collection. Furthermore, using recorded data can reduce the likelihood of information distortion. Given its capability to analyze log data across different systems, process mining has become popular among companies aiming to examine their processe Thus, process mining not only plays a role in improving operational efficiency but also in enhancing the overall quality of healthcare services. This study discusses how process mining can be implemented to support information system audits based on COBIT 2019 for DSS01 Objective, particularly as a method of collecting and validating data within the process",1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019
29,"stage is performance analysis, where the effectiveness and efficiency of the billing processes are reviewed to identify potential areas for improvement. Overall, these stages are crucial to ensure that the billing practices at the hospital are conducted efficiently and transparently. A. Dataset The ""Hospital Billing"" event log was obtained from the financial module of the ERP system used by a regional hospital , This log records various incidents related to the billing of medical services provided by the hospital. Over a three-year period, from 2013 to 2016, a random sample of 100,000 traces was collected, each representing a recorded example of the process in the system. Within this event log, there are 18 different activities, each depicting distinct stages in",1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019,1,0,Identifying Non-Conforming Process in Automobile Insurance Claims Using Process Mining and COBIT 2019
30,"Long Short-Term Memory (LSTM) , is a variation of Recurrent Neural Networks (RNN) that has been successfully applied to various Natural Language Processing (NLP) tasks. LSTM has the ability to capture long-range dependencies with sequences making it suitable for solving sequence labeling problems , , , such as Named Entity Recognition tagging (POS-Tag) and Neural (NER), Part-of-Speech combining (NMT). Study Machine Translation Bidirectional LSTM (BiLSTM) model with Conditional Random Field (CRF) to solve NER and POS-Tag Task. BiLSTM encodes word or character vectors into features, while CRF is a classifier to predict the target labels. Previous research has explored enhancing the feature extractor by integrating serves attention mechanisms with existing models or introducing alternative extractors such as Convolutional Neural Networks",1,0,Transformer-Based Named Entity Recognition on Drone Flight Logs to Support Forensic Investigation,1,0,Transformer-Based Named Entity Recognition on Drone Flight Logs to Support Forensic Investigation,1,0,Transformer-Based Named Entity Recognition on Drone Flight Logs to Support Forensic Investigation
31,"as runtime logs that are constantly generated during the operational period of the device. The information recorded in log data is highly valuable for many purposes, including running system monitoring, running process conformance checks, and overall system evaluation . The use of log data is critical when incident cases occur, as the empirical events and incident scenarios can be discovered by analysing the log artefacts. Assuming that 64252 2024 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 License. For more information, see VOLUME 12, 2024 S. Silalahi et al.: Severity-Oriented Multiclass Drone Flight Logs Anomaly Detection the integrity of the log is guaranteed, log data is one of the artefacts with the highest priority for investigating",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
32,"particular system log may need different techniques from one type to another. Generally, log-based anomaly detection can be performed using either point, collective, or contextual approaches. In the log-based anomaly detection literature, most of the existing studies propose either a contextual or collective approach, where the decision is taken by examining a sequence of log events. However, detecting abnormalities in log data can be performed using a point-based approach, where one single log record is the only feature needed. Therefore, several studies explored utilising a point-based approach to detect anomalous events on logs data, such as in operating systems , , drone devices , and distribution systems , . In the drone context, a log message contains a description of",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
33,"several studies explored utilising a point-based approach to detect anomalous events on logs data, such as in operating systems , , drone devices , and distribution systems , . In the drone context, a log message contains a description of occurring events which are triggered by various components such as sensors, peripherals, and firmware. Analysing the log message means analysing events from all aspects of the drone, including sensors, components and features . Typically, existing log-based anomaly detection stud- ies classify log events into two categories: normal and anomaly . This is helpful in an online setting, where the number of detected abnormalities in a certain period of time is considerably small. However, in a digital forensic setting, where the",1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages,1,0,Interpretable Ordinal-Aware With Contrastive-Enhanced Anomaly Severity Detection on UAV Flight Log Messages
